Identifier;DimensionGroupId;DimensionId;Index;Title;Description
NL01;NL;RegioS;1;Nederland;
LD01;LD;RegioS;2;Noord-Nederland (LD);"LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD02;LD;RegioS;3;Oost-Nederland (LD);"LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD03;LD;RegioS;4;West-Nederland (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LDG4;LD;RegioS;5;West-Nederland, exclusief G4 (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland, exclusief
de gemeenten Amsterdam, 's-Gravenhage, Rotterdam en Utrecht (G4).

Regionale groepering van provincies. Nederland telt 4 landsdelen."
LD04;LD;RegioS;6;Zuid-Nederland (LD);"LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen."
PV20;PV;RegioS;7;Groningen (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV21;PV;RegioS;8;Fryslân (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV22;PV;RegioS;9;Drenthe (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV23;PV;RegioS;10;Overijssel (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV24;PV;RegioS;11;Flevoland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV25;PV;RegioS;12;Gelderland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV26;PV;RegioS;13;Utrecht (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV27;PV;RegioS;14;Noord-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV28;PV;RegioS;15;Zuid-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
PV29;PV;RegioS;16;Zeeland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies."
