Id_gas,Average natural gas usage (m3),Year,Region,Id_ele,Average electricity usage (kWh),Id,Title
0,1850.0,2010-01-01,1,1,3300.0,1,Nederland
3,1450.0,2011-01-01,1,4,3250.0,2,Nederland
6,1500.0,2012-01-01,1,7,3200.0,3,Nederland
9,1600.0,2013-01-01,1,10,3150.0,4,Nederland
12,1200.0,2014-01-01,1,13,3050.0,5,Nederland
15,1250.0,2015-01-01,1,16,2980.0,6,Nederland
18,1300.0,2016-01-01,1,19,2910.0,7,Nederland
21,1240.0,2017-01-01,1,22,2860.0,8,Nederland
24,1270.0,2018-01-01,1,25,2790.0,9,Nederland
207,1700.0,2011-01-01,20,208,3100.0,10,Groningen (PV)
228,2580.0,2018-01-01,20,229,1350.0,11,Groningen (PV)
234,1490.0,2021-01-01,20,235,2580.0,12,Groningen (PV)
237,3050.0,2010-01-01,21,238,1650.0,13,Fryslân (PV)
240,1750.0,2012-01-01,21,241,3000.0,14,Fryslân (PV)
243,1850.0,2013-01-01,21,244,2900.0,15,Fryslân (PV)
246,1350.0,2014-01-01,21,247,2800.0,16,Fryslân (PV)
249,1450.0,2015-01-01,21,250,2730.0,17,Fryslân (PV)
252,1520.0,2016-01-01,21,253,2640.0,18,Fryslân (PV)
255,1430.0,2017-01-01,21,256,2570.0,19,Fryslân (PV)
258,1470.0,2018-01-01,21,259,2490.0,20,Fryslân (PV)
264,2630.0,2020-01-01,21,265,1490.0,21,Fryslân (PV)
267,2350.0,2010-01-01,22,268,3500.0,22,Drenthe (PV)
270,3450.0,2011-01-01,22,271,1950.0,23,Drenthe (PV)
273,2050.0,2013-01-01,22,274,3350.0,24,Drenthe (PV)
276,3200.0,2014-01-01,22,277,1600.0,25,Drenthe (PV)
288,1480.0,2019-01-01,22,289,2810.0,26,Drenthe (PV)
291,1400.0,2020-01-01,22,292,2840.0,27,Drenthe (PV)
294,2890.0,2021-01-01,22,295,2100.0,28,Drenthe (PV)
297,1650.0,2011-01-01,23,298,3450.0,29,Overijssel (PV)
318,2940.0,2018-01-01,23,319,1280.0,30,Overijssel (PV)
354,770.0,2019-01-01,24,355,2950.0,31,Flevoland (PV)
357,760.0,2020-01-01,24,358,3010.0,32,Flevoland (PV)
360,860.0,2021-01-01,24,361,3040.0,33,Flevoland (PV)
363,2000.0,2010-01-01,25,364,3450.0,34,Gelderland (PV)
366,3450.0,2011-01-01,25,367,1650.0,35,Gelderland (PV)
387,1290.0,2019-01-01,25,388,2850.0,36,Gelderland (PV)
390,1220.0,2020-01-01,25,391,2910.0,37,Gelderland (PV)
393,1390.0,2021-01-01,25,394,2950.0,38,Gelderland (PV)
396,1750.0,2010-01-01,26,397,3350.0,39,Utrecht (PV)
399,1350.0,2011-01-01,26,400,3350.0,40,Utrecht (PV)
402,1350.0,2012-01-01,26,403,3250.0,41,Utrecht (PV)
405,1450.0,2013-01-01,26,406,3200.0,42,Utrecht (PV)
408,1050.0,2014-01-01,26,409,3100.0,43,Utrecht (PV)
411,1150.0,2015-01-01,26,412,3020.0,44,Utrecht (PV)
414,1200.0,2016-01-01,26,415,2980.0,45,Utrecht (PV)
417,1140.0,2017-01-01,26,418,2930.0,46,Utrecht (PV)
420,1160.0,2018-01-01,26,421,2850.0,47,Utrecht (PV)
432,3000.0,2010-01-01,27,433,1300.0,48,Noord-Holland (PV)
435,1350.0,2012-01-01,27,436,2950.0,49,Noord-Holland (PV)
438,1450.0,2013-01-01,27,439,2900.0,50,Noord-Holland (PV)
441,1100.0,2014-01-01,27,442,2800.0,51,Noord-Holland (PV)
444,1140.0,2015-01-01,27,445,2740.0,52,Noord-Holland (PV)
447,1190.0,2016-01-01,27,448,2680.0,53,Noord-Holland (PV)
450,1130.0,2017-01-01,27,451,2620.0,54,Noord-Holland (PV)
453,1160.0,2018-01-01,27,454,2550.0,55,Noord-Holland (PV)
489,2670.0,2018-01-01,28,490,1020.0,56,Zuid-Holland (PV)
501,1450.0,2011-01-01,29,502,3100.0,57,Zeeland (PV)
522,2600.0,2018-01-01,29,523,1220.0,58,Zeeland (PV)
528,1360.0,2021-01-01,29,529,2710.0,59,Zeeland (PV)
531,3600.0,2010-01-01,30,532,1500.0,60,Noord-Brabant (PV)
534,1600.0,2012-01-01,30,535,3550.0,61,Noord-Brabant (PV)
537,1700.0,2013-01-01,30,538,3450.0,62,Noord-Brabant (PV)
540,1250.0,2014-01-01,30,541,3350.0,63,Noord-Brabant (PV)
543,1340.0,2015-01-01,30,544,3290.0,64,Noord-Brabant (PV)
546,1380.0,2016-01-01,30,547,3230.0,65,Noord-Brabant (PV)
549,1320.0,2017-01-01,30,550,3190.0,66,Noord-Brabant (PV)
552,1340.0,2018-01-01,30,553,3120.0,67,Noord-Brabant (PV)
564,3550.0,2010-01-01,31,565,1650.0,68,Limburg (PV)
