DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2011-S1,0.1152,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2012-S1,0.1163,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2013-S1,0.1156,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2014-S1,0.1156,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2015-S1,0.0812,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2016-S1,0.0824,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2017-S1,0.0844,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2019-S1,0.0920,e
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2020-S1,0.0922,e
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2021-S1,0.0925,e
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AL,2022-S1,0.0941,e
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2010-S1,0.1967,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2011-S1,0.1986,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2012-S1,0.1975,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2013-S1,0.2082,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2014-S1,0.2021,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2015-S1,0.2009,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2016-S1,0.2034,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2017-S1,0.1950,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2018-S1,0.1966,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2019-S1,0.2034,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2020-S1,0.2111,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2021-S1,0.2216,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,AT,2022-S1,0.2249,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2010-S1,0.0741,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2011-S1,0.0745,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2012-S1,0.0798,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2013-S1,0.0803,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2014-S1,0.0791,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2015-S1,0.0812,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2016-S1,0.0831,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2017-S1,0.0859,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2018-S1,0.0864,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2019-S1,0.0873,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2020-S1,0.0870,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2021-S1,0.0875,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BA,2022-S1,0.0887,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2010-S1,0.1959,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2011-S1,0.2136,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2012-S1,0.2327,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2013-S1,0.2173,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2014-S1,0.2097,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2015-S1,0.2126,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2016-S1,0.2544,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2017-S1,0.2857,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2018-S1,0.2824,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2019-S1,0.2839,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2020-S1,0.2792,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2021-S1,0.2702,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BE,2022-S1,0.3377,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2010-S1,0.0813,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2011-S1,0.0826,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2012-S1,0.0846,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2013-S1,0.0924,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2014-S1,0.0832,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2015-S1,0.0942,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2016-S1,0.0956,
ESTAT:NRG_PC_204(1.0),20/12/22 23:00:00,S,6000,4161903,KWH,I_TAX,EUR,BG,2017-S1,0.0955,
